RackName,UCount,1UPos,Comments
MD02-C02,44,Bottom,
MD02-C03,44,Bottom,
MD02-C04,44,Bottom,
MD02-C05,44,Bottom,
MD02-C06,44,Bottom,
MD02-C07,44,Bottom,
MD02-C08,46,Bottom,
MD02-C09,46,Bottom,
MD02-C10,46,Bottom,
MD02-C11,46,Bottom,
MD02-C12,44,Bottom,
MD02-C13,44,Bottom,
MD02-C14,44,Bottom,
MD02-C15,44,Bottom,
MD02-C16,44,Bottom,
MD02-C17,44,Bottom,
MD02-C18,46,Bottom,
MD02-C19,46,Bottom,
MD02-C20,46,Bottom,
MD02-D01,44,Bottom,
MD02-D02,44,Bottom,
MD02-D03,44,Bottom,
MD02-D04,44,Bottom,
MD02-D05,44,Bottom,
MD02-D06,44,Bottom,
MD02-D07,46,Bottom,
MD02-D08,46,Bottom,
MD02-D09,42,Bottom,XP Storage
MD02-D10,42,Bottom,XP Storage
MD02-D11,44,Bottom,
MD02-D12,44,Bottom,
MD02-D13,44,Bottom,
MD02-D14,44,Bottom,
MD02-D16,44,Bottom,
MD02-D17,44,Bottom,
VIP05-A07,46,Top,
VIP05-A08,46,Top,
VIP05-A09,46,Top,
VIP05-A10,46,Top,
VIP05-A11,46,Top,
VIP05-A12,46,Top,
VIP05-A13,46,Top,
VIP05-A14,46,Top,
VIP05-A15,46,Top,
VIP05-A16,46,Top,
VIP05-B07,46,Top,
VIP05-B08,46,Top,
VIP05-B09,46,Top,
VIP05-B10,46,Top,
VIP05-B11,46,Top,
VIP05-B12,46,Top,
VIP05-B13,46,Top,
VIP05-B14,44,Top,
VIP05-B15,44,Top,
VIP05-D01,47,Bottom,
VIP05-D02,47,Bottom,
VIP05-D03,47,Bottom,
VIP05-D04,47,Bottom,
VIP05-D05,47,Bottom,
VIP05-D06,47,Bottom,
VIP05-D07,47,Bottom,
VIP05-D08,47,Bottom,
VIP05-D09,47,Bottom,
VIP05-D10,47,Bottom,
VIP05-D11,46,Top,
VIP05-D12,46,Top,
VIP05-D13,46,Top,
VIP05-D14,46,Top,
VIP05-E01,47,Bottom,
VIP05-E02,47,Bottom,
VIP05-E03,47,Bottom,
VIP05-E04,47,Bottom,
VIP05-E05,47,Bottom,
VIP05-E06,47,Bottom,
VIP05-E07,47,Bottom,
VIP05-E08,47,Bottom,
VIP05-E09,47,Bottom,
VIP05-E10,47,Bottom,
VIP05-E11,46,Top,
VIP05-E12,46,Top,
VIP05-E13,46,Top,
VIP05-E14,46,Top,
